Word 1,Word 2
آهسته (āhesteh),Slow
میوه خشک (miveh khoshk),Dried fruit
به‌طور عمدتا (be-tor-e omdatā),Mainly
خوب (khūb),Well
نقره‌ای (noqre'ī),Silver
پله (pelle),Stairs
شامپو (shāmpū),Shampoo
خیلی (khīlī),Very
پارک (pārk),Park
به‌طور معمول (be-tor-e ma'mūl),Usually
زمینه (zamīneh),Field
فورا (forā),Immediately
آهنگ (āhang),Song
بد (bad),Bad
دائما (dā'ema),Always
تار (tār),String
پلیس (polīs),Police
رادیو (rādyo),Radio
پارکینگ (pārkīng),Parking
سخت (sakht),Hard
عجیب‌تر (ajībtar),Stranger
خرید (kharīd),Purchase
بلافاصله (belā-fāsele),Immediately
پیاده‌روی (piyāde-ravī),Walk
چه‌قدر (che qadr),How much
برگر (berger),Burger
آزاد (āzād),Free
به‌طور زود (be-tor-e zūd),Quickly
پزشک (pezeshk),Doctor
چشم (chashm),Eye
تخت (takht),Bed
روز (rūz),Day
تاکسی زرد (tāksī zard),Yellow taxi
ممکن (momken),Possible
چای (chāy),Tea
حتما (hatman),Definitely
پنجره (panjere),Window
کرفس (kerefes),Celery
چپ (chap),Left
بدترین (badtarin),The worst
هرگز (hargez),Never
شیر (shīr),Lion
این (īn),This
سبزی (sabzi),Vegetable
خیابان دیگر (khīābān-e dīgar),Another street
رستوران (restorān) - restorān,Restaurant
تابلو خودرو (tāblū khodrō),License plate
راز (rāz),Secret
نرم (narm),Soft
کلاه (kolāh),Hat
پنجه (panje),Finger
ترسیده (tarasīde),Afraid
فورا (forā),Immediately
دوچرخه (dūcharkhe),Bicycle
رستوران (restorān),Restaurant
با عجله (bā ajle),Hurriedly
گیلاس (gīlās),Cherry
دویدن (dūīdan),Run
حوله (hōleh),Towel
آسمان (āsemān),Sky
شلوار (shalvār),Pants
صاف (ṣāf),Smooth
آبگوشت (ābgūsht),Stew
رؤیا (ro'yā),Vision
بلند (boland),Tall
پیشنهاد (pishnehād),Suggestion
هرگز (hargez),Never
تابع (tābe' ),Dependent
همیشه (hamīshe),Always
قاب عکس (qāb-e aks),Picture frame
عکس (aks),Photo
گلابی (gelābī),Peach
پنجره اتاق (panjere-ye otāq),Window of the room
آب (āb) - āb,Water
نظاره (nazāre),Observation
اینجا (īnjā),Here
خاک (khāk),Dirt
شلوار (shalvār),Pants
پرتقال (porteghāl),Orange
کمد (kamod),Closet
محال (ma'mūl),Impossible
میز کار (mīz-e kār),Desk
این (īn),This
نان (nān),Bread
به‌طور خودکار (be-tor-e khod-kār),Automatically
مصرف (masraf),Consumption
پیتزا (pītzā),Pizza
خیابان اصلی (khīābān-e aslī),Main street
ضعیف (za'īf),Weak
سریعا (sor'īā),Quickly
پیشرفته (pishraftah),Advanced
به‌طور همزمان (be-tor-e hamzamān),Concurrently
ناراضی (nārāzī),Unhappy
به‌طور فوری (be-tor-e forī),Immediately
از (az),From
فصل (fasl),Season
موسیقی (mūsīqī) - mūsīqī,Music
آسمان (āsemān),Sky
پرداخت (pardākhth),Payment
دیدن (dīdan),To see
پا (pā),Leg
بهار (bahār),Spring
پیروز (pīrūz),Victorious
دانشگاه (dāneshgāh) - dāneshgāh,University
در (dar),At
مترو (metro) - metro,Metro
داغ (dāgh),Hot
برای (barāy),For
جلو (jolo),In front of
میز (mīz),Table
خوراک (khōrāk) - khōrāk,Food
آهنگ (āhang),Song
به‌طور خودکار (be-tor-e khod-kār),By itself
